No,Year,Country_ID,Bank_ID,IB,DTD_PB,DTC_PB,ESGS,ESGcom,ESGC,E,S,G,ETA,NPL,CTI,TDTA,REVDIV,LOANGR,TA,IB,EG,INF,HHII,COVID,GOV,MIP,REG,LNTA
828,2017,15,119,0,"27,873098","32,783616","35,85","35,85",100,"59,54","43,34","24,2","4,891863","0,82","34,67","66,824037","5,46096","14,44","15850000000000,00%",0,"6,9472008","1,593136","5,981229",0,"-0,10850983","7,33649","-0,17930089","25,78897"
835,2017,15,120,0,"24,444936","33,782809","30,94","30,94",100,"53,82","43,45","19,04","6,1844596","1,59","27,65","84,729202","4,677963","16,87","98540000000000,00%",0,"6,9472008","1,593136","5,981229",0,"-0,10850983","7,33649","-0,17930089","27,61636"
849,2017,16,122,0,"21,275656","25,988236","59,63","59,63",100,"92,58","68,24","37,1","13,041333","2,16","66,2","47,336678","20,47305","19,48","11460000000000,00%",0,"7,5019975","11,144311","7,898053",0,"-0,45112238","25,93925","0,04353184","25,46496"
856,2017,16,123,0,"61,906795","65,222362","54,1","54,1",100,"75,46","68,5","33,87","8,4510063","2,94","42,97","71,914244","8,494064","28,34","8247000000000,00%",0,"7,5019975","11,144311","7,898053",0,"-0,45112238","25,93925","0,04353184","25,13572"
863,2017,16,124,0,"52,483157","56,46243","65,94","65,94",100,"91,36","75,23","45,48","11,906435","2,83","40,08","61,788454","13,33545","13,23","9327000000000,00%",0,"7,5019975","11,144311","7,898053",0,"-0,45112238","25,93925","0,04353184","25,25876"
870,2017,16,125,0,"31,571589","36,079358","52,08","52,08",100,"76,12","74,38","19,89","8,7113116","4,03","46,91","56,556021","11,20522","24,7","7404000000000,00%",0,"7,5019975","11,144311","7,898053",0,"-0,45112238","25,93925","0,04353184","25,0279"
877,2017,16,126,0,"43,005875","47,059266","58,16","58,16",100,"83,9","81,73","23,55","9,698433","4,27","45,59","54,602544","11,42868","13,51","8411000000000,00%",0,"7,5019975","11,144311","7,898053",0,"-0,45112238","25,93925","0,04353184","25,15538"
884,2017,16,127,0,"37,976332","42,002421",,,,,,,"13,238924","0,25","18,93","17,574467","44,12587","29,11","789200000000,00%",0,"7,5019975","11,144311","7,898053",0,"-0,45112238","25,93925","0,04353184","22,78911"
891,2017,16,128,0,"35,900089","41,469302","62,09","62,09",86,"80,72","70,9","50,65","12,169029","2,19","38,93","59,463778","10,7245","16,89","8996000000000,00%",0,"7,5019975","11,144311","7,898053",0,"-0,45112238","25,93925","0,04353184","25,22267"
898,2017,17,129,0,"35,900089","41,469302","53,04","53,04",86,"70,12","70,27","30,61","10,37796","5,94","45,81","76,462223","11,32146","3,11","22590000000000,00%",0,"1,8257901","3,6833294","14,27279",0,"-0,6238402","13,12624","-0,52676815","26,14316"
905,2017,17,130,0,"25,46829","30,000204","58,14","58,14",100,"64,54","71,02","52,33","12,657033","4,23","34,96","75,041125","14,72845","6,53","47070000000000,00%",0,"1,8257901","3,6833294","14,27279",0,"-0,6238402","13,12624","-0,52676815","26,87748"
912,2017,17,131,0,,,,,,,,,"7,2698684","2,41","27,34","54,074667","7,190331","22,81","3278000000000,00%",0,"1,8257901","3,6833294","14,27279",0,"-0,6238402","13,12624","-0,52676815","24,21311"
919,2017,18,132,0,,,"36,76","36,76",100,"24,7","26,22",65,"11,938968","8,13","48,57","84,087785","10,23369","8,21","1532000000000,00%",0,"8,1965065","1,3390212","15,98898",0,"0,13835333","8,117793","0,43297315","23,45235"
926,2017,18,133,0,,,"42,78","42,78",100,"35,66","61,77","28,33","13,415527","8,53","54,14","82,11876","10,84535","-0,96","1407000000000,00%",0,"8,1965065","1,3390212","15,98898",0,"0,13835333","8,117793","0,43297315","23,36728"
933,2017,19,134,0,"55,638832","60,68678","46,75","46,75",100,"70,28","64,21","21,43","7,2283461","0,25","49,34","24,419199","6,659332","75,12","485500000000,00%",0,"5,1400176","2,0759355","8,710712",0,"0,59271246","4,980301","0,80498832","22,30333"
947,2017,19,136,0,"48,158498","52,418482","64,6","64,6",100,"91,91","58,11","67,25","9,3599198","2,69","51,7","82,445825","8,393547","11,18","3620000000000,00%",0,"5,1400176","2,0759355","8,710712",0,"0,59271246","4,980301","0,80498832","24,31225"
954,2017,19,137,0,"54,718651","59,229199","44,43","44,43",100,"30,48","38,76","66,72","10,874422","5,16","46,43","66,378515","9,301933","3,32","3775000000000,00%",0,"5,1400176","2,0759355","8,710712",0,"0,59271246","4,980301","0,80498832","24,35429"
961,2017,19,138,0,"47,11444","51,307116","52,19","52,19",100,"84,14","61,95","30,59","10,925565","4,57","48,47","83,813926","8,07003","1,08","2044000000000,00%",0,"5,1400176","2,0759355","8,710712",0,"0,59271246","4,980301","0,80498832","23,74053"
968,2017,19,139,0,"86,27799","75,039192","60,96","60,96",100,"68,31","66,73","64,55","16,122879","3,5","61,4","78,294329","10,89572","5,2","1236000000000,00%",0,"5,1400176","2,0759355","8,710712",0,"0,59271246","4,980301","0,80498832","23,23793"
975,2017,19,140,0,"19,050522","22,537343","37,11","37,11",100,"22,25","24,54","69,27","9,6251223","10,82","50,67","78,753956","11,17989","10,87","1997000000000,00%",0,"5,1400176","2,0759355","8,710712",0,"0,59271246","4,980301","0,80498832","23,71742"
982,2017,19,141,0,"73,941474","78,136398","55,71","55,71",100,"58,71","66,29","54,41","12,545615","5,54","52,7","80,922662","8,726234","7,37","5327000000000,00%",0,"5,1400176","2,0759355","8,710712",0,"0,59271246","4,980301","0,80498832","24,69873"
989,2017,19,142,0,"23,279504","27,451824","83,8","83,8",100,"76,53","90,77","85,26","15,289793","5,77","48,52","74,841755","11,65881","4,39","4386000000000,00%",0,"5,1400176","2,0759355","8,710712",0,"0,59271246","4,980301","0,80498832","24,50417"
996,2017,20,143,0,"60,823242","67,549767","66,95","66,95",100,"74,77","72,16","59,17","12,433864","12,83","58,9","81,162653","13,58978","15,66","5096000000000,00%",0,"4,271976","2,3482428","12,61023",0,"0,50814554","5,98054","0,63692462","24,65436"
1010,2017,22,145,0,"31,931642","37,41381","67,58","46,46","25,33","81,5","87,73","42,41","8,9238868","3,62","51,68","52,385785","14,78238","2,5","16440000000000,00%",0,"1,157947","5,1842466","9,545291",0,"-0,07150793","12,18876","0,13891342","25,8256"
1017,2017,22,146,0,"13,003864","16,17194",49,49,100,"75,87","59,53","31,9","7,7967862","2,36","55,36","58,94122","13,91087","6,83","8284000000000,00%",0,"1,157947","5,1842466","9,545291",0,"-0,07150793","12,18876","0,13891342","25,14023"
1024,2017,22,147,0,"2,5420792","3,7125229","33,39","33,39",100,"31,98","49,46","20,71","21,371253","6,33","35,36","65,494008","36,5964","10,38","563100000000,00%",0,"1,157947","5,1842466","9,545291",0,"-0,07150793","12,18876","0,13891342","22,45163"
1031,2017,22,148,0,"51,143179","56,47176","70,34","38,92","23,33","96,26","69,08","64,63","7,9004057","0,97","55,22","78,878378","5,637947","10,83","3207000000000,00%",0,"1,157947","5,1842466","9,545291",0,"-0,07150793","12,18876","0,13891342","24,19119"
1038,2017,22,149,0,"28,085373","33,391075","79,84","79,84",100,"92,9","88,1","65,74","7,4095562","2,7","60,28","70,726583","10,76496","4,91","7378000000000,00%",0,"1,157947","5,1842466","9,545291",0,"-0,07150793","12,18876","0,13891342","25,02434"
1045,2017,22,150,0,"59,10106","68,448447","71,56","47,45","23,33","81,93","82,23","60,87","8,0117731","3,66","65,47","63,534064","12,02271","4,14","8013000000000,00%",0,"1,157947","5,1842466","9,545291",0,"-0,07150793","12,18876","0,13891342","25,10687"
1052,2017,23,151,0,"31,867135","35,746785","14,4","14,4",100,"22,22","17,14","16,39","10,094598","2,23","23,3","84,599531","10,03337","21,28","1254000000000,00%",0,"4,181221","19,87386","15,95889",0,"-0,7436607","39,02861","-0,81294149","23,25216"
1059,2017,23,152,0,"14,73828","17,678112","68,18","68,18",100,"73,45","65,98","77,28","9,6473633","7,16","22,02","85,690753","10,4107","4,61","1658000000000,00%",0,"4,181221","19,87386","15,95889",0,"-0,7436607","39,02861","-0,81294149","23,53143"
1066,2017,23,153,1,"26,787095","30,99353",,,,,,,"5,2361821","6,98","25,16","89,055272","7,5485","1,4","282800000000,00%",1,"4,181221","19,87386","15,95889",0,"-0,7436607","39,02861","-0,81294149","21,76278"
1073,2017,24,154,0,"37,850222","46,048632","60,41","60,41",100,"74,73","67,32","53,33","9,7690672","6,8","46,08","69,710519","10,56171","5,38","5042000000000,00%",0,"5,0578982","0,75466325","13,38855",0,"-0,26391938","5,861861","-0,15864441","24,64365"
1080,2017,25,155,0,"19,647466","24,114461","76,91","76,91",100,"80,81","72,35","89,79","10,898669","1,98","43,85","46,978725","14,40304","8,88","6887000000000,00%",0,"1,8717285","6,0414572","6,182036",0,"-0,44542895","12,91132","0,18209249","24,95546"
1087,2017,25,156,0,"44,000026","49,375377","10,42","10,42",100,"22,22","4,08","9,56","25,911817",3,"24,01","26,498286","27,40576","2,18","2633000000000,00%",0,"1,8717285","6,0414572","6,182036",0,"-0,44542895","12,91132","0,18209249","23,99388"
1094,2017,25,157,0,"75,083022","79,160199","47,84","47,84",100,"36,94","54,2","52,32","29,983417","3,26","62,99","17,574467","44,12587","-4,28","222100000000,00%",0,"1,8717285","6,0414572","6,182036",0,"-0,44542895","12,91132","0,18209249","21,52135"
1101,2017,25,158,0,"7,3615712","9,9371198","27,35","27,35",100,"29,69","35,73","23,77",,,,,,,,0,"1,8717285","6,0414572","6,182036",0,"-0,44542895","12,91132","0,18209249",
1108,2017,26,159,0,"11,73867","14,94185",,,,,,,"11,083171","3,17","43,78","61,99676","17,12825","5,58","4286000000000,00%",0,"2,5188354","2,9949005","20,21524",0,"-0,24043916","12,30641","0,35146374","24,48123"
1115,2017,26,160,0,"13,568519","17,993683","17,16","17,16",100,"22,77","4,08","44,47","9,9976766","2,67","41,65","64,385309","13,2597","0,09","2365000000000,00%",0,"2,5188354","2,9949005","20,21524",0,"-0,24043916","12,30641","0,35146374","23,88643"
1129,2017,27,162,0,"2,5420792","4,4060408","51,6","51,6",100,"30,08","50,52","70,59","9,4616805","3,02","45,5","58,734732","13,50592","0,21","5335000000000,00%",0,"1,3576954","2,1827185","7,658098",0,"0,90446104","3,768705","1,1584932","24,70021"
1136,2017,27,163,0,"12,076468","16,603801","61,2","61,2",100,"86,17","60,58","60,22","8,051996","5,02","49,44","60,017029","12,20164","9,89","5508000000000,00%",0,"1,3576954","2,1827185","7,658098",0,"0,90446104","3,768705","1,1584932","24,73197"
1143,2017,27,164,0,"5,6767667","7,5714265","28,49","28,49",100,"45,65","11,58","61,85","12,115974","6,22","67,79","51,019375","10,92889","-2,96","4561000000000,00%",0,"1,3576954","2,1827185","7,658098",0,"0,90446104","3,768705","1,1584932","24,54341"
1150,2017,27,165,0,"15,632479","22,178808","85,06","85,06",100,"90,34","89,33","79,56","8,6807027","6,54","43,99","56,330801","13,45746","2,34","5820000000000,00%",0,"1,3576954","2,1827185","7,658098",0,"0,90446104","3,768705","1,1584932","24,78711"
1157,2017,28,166,0,"66,173543","69,72262","11,33","11,33",100,"30,03","14,24","8,73","12,188473","3,97","52,5","67,5661","18,40003","7,97","5028000000000,00%",0,"1,3593609","4,3143133","9,533669",0,"-0,2916828","10,73271","0,25744912","24,64082"
1164,2017,28,167,0,"20,325555","24,240745","64,84","64,84",100,"78,32","71,68","64,5","11,980685","0,93","48,65","65,24691","17,49963","5,75","6862000000000,00%",0,"1,3593609","4,3143133","9,533669",0,"-0,2916828","10,73271","0,25744912","24,95182"
1171,2017,28,168,0,"65,510645","68,496489",,,,,,,"7,6726356",,"46,53","81,226471","12,4313","10,19","1954000000000,00%",0,"1,3593609","4,3143133","9,533669",0,"-0,2916828","10,73271","0,25744912","23,69576"
1178,2017,28,169,0,"31,033955","38,393987","34,51","34,51",100,"22,22","30,76","53,49","10,977883","4,9","60,95","65,451366","21,75577","7,23","7963000000000,00%",0,"1,3593609","4,3143133","9,533669",0,"-0,2916828","10,73271","0,25744912","25,1007"
1185,2017,29,170,0,"44,324813","48,155737","67,98","67,98",100,"94,58","89,64",30,"6,8834617","12,12","54,96","33,311213","14,32007","-2,55","40910000000000,00%",0,"1,3228691","3,4463734","15,76038",0,"-0,35853786","10,74867","-0,130867","26,73724"
1192,2017,29,171,0,"15,690288","18,48397","88,54","87,62",100,"93,17","91,06","93,27","13,489236","6,65","44,54","39,956636","19,70963","7,2","19520000000000,00%",0,"1,3228691","3,4463734","15,76038",0,"-0,35853786","10,74867","-0,130867","25,99744"
1199,2017,29,172,0,"22,312035","27,214868","78,44","78,44",86,"96,05","83,71","66,65","9,6127229","11,11","56,3","25,686889","22,05968","-4,66","37020000000000,00%",0,"1,3228691","3,4463734","15,76038",0,"-0,35853786","10,74867","-0,130867","26,63727"
1206,2017,29,173,0,"33,672029","38,461969","15,35","15,35",100,"24,4","21,12","12,66","9,8957206","3,13","60,14","63,31341","20,19878","4,86","2249000000000,00%",0,"1,3228691","3,4463734","15,76038",0,"-0,35853786","10,74867","-0,130867","23,83612"
1213,2017,29,174,0,"17,772088","22,679612","88,51","87,25",86,"95,29","94,48","80,07","10,050973","8,93","53,68","28,05508","21,7783","1,5","43430000000000,00%",0,"1,3228691","3,4463734","15,76038",0,"-0,35853786","10,74867","-0,130867","26,79689"
3,2018,1,1,1,"10,27451","13,401885","11,92","11,92",100,0,"4,08","28,17","11,972656","3,34","27,68","75,491255","8,578705","8,2","6091000000000,00%",1,"1,3139139","3,0686338","10,64351",0,"0,98521349","5,324349","0,91985476","24,83262"
10,2018,1,2,0,"15,811167","18,79712","69,59","69,59",100,"50,42","62,79","86,64","10,293917",3,"33,55","64,226533","8,979477","2,34","7620000000000,00%",0,"1,3139139","3,0686338","10,64351",0,"0,98521349","5,324349","0,91985476","25,05658"
17,2018,1,3,0,"20,195611","23,478935","71,57","71,57","91,57","58,69","74,09","73,24","12,262383","4,21","27,56","63,843606","6,468964","6,3","20260000000000,00%",0,"1,3139139","3,0686338","10,64351",0,"0,98521349","5,324349","0,91985476","26,03428"
24,2018,1,4,0,"31,741685","37,542437","36,87","36,87",100,"26,56","51,87","20,31","10,901988","5,92","32,34","73,943319","8,576233","7,66","13620000000000,00%",0,"1,3139139","3,0686338","10,64351",0,"0,98521349","5,324349","0,91985476","25,63769"
31,2018,1,5,1,"22,811061","27,538121",,,,,,,"10,369754","4,84","44,56","83,504068","9,854317","2,27","3409000000000,00%",1,"1,3139139","3,0686338","10,64351",0,"0,98521349","5,324349","0,91985476","24,25226"
38,2018,1,6,0,,,"21,88","21,88",100,0,"6,67","51,6","8,5427047","9,45","45,22","75,361828","9,726799","0,1","619200000000,00%",0,"1,3139139","3,0686338","10,64351",0,"0,98521349","5,324349","0,91985476","22,54646"
45,2018,1,7,0,"84,10193","86,605181",,,,,,,"12,975432","11,01","44,81","70,129277","6,59127","-0,7","793000000000,00%",0,"1,3139139","3,0686338","10,64351",0,"0,98521349","5,324349","0,91985476","22,79394"
52,2018,1,8,0,"36,626826","40,674664","24,61","24,61",100,0,"21,96","38,12","12,440639","7,12","32,34","71,999082","9,04113","7,72","2018000000000,00%",0,"1,3139139","3,0686338","10,64351",0,"0,98521349","5,324349","0,91985476","23,72783"
66,2018,1,10,1,"64,884972","69,658842","10,42","10,42",100,0,"9,97","8,67","10,805177","5,19","47,61","87,668196","5,219147","8,5","616600000000,00%",1,"1,3139139","3,0686338","10,64351",0,"0,98521349","5,324349","0,91985476","22,54232"
73,2018,1,11,1,"14,360966","17,640302",,,,,,,"12,04054","5,48","52,88","73,721603","6,25428","11,96","1218000000000,00%",1,"1,3139139","3,0686338","10,64351",0,"0,98521349","5,324349","0,91985476","23,22338"
80,2018,2,12,0,"60,717381","64,710263","55,3","55,3","67,42","32,26","88,69","18,52","11,467314","5,24","45,29","80,205739","9,533295","4,44","8450000000000,00%",0,"4,2228703","1,0638975","7,677053",0,"-0,2102307","4,372751","-0,04409666","25,16001"
87,2018,2,13,0,"55,748611","61,948101","58,17","58,17",100,"61,34","81,95","24,15","13,256084","3,84","44,84","79,035277","9,055786","3,97","9615000000000,00%",0,"4,2228703","1,0638975","7,677053",0,"-0,2102307","4,372751","-0,04409666","25,28913"
94,2018,2,14,0,"38,417833","42,892318",,,,,,,"13,778267","2,33","51,41","78,741215","7,82859","5,88","3229000000000,00%",0,"4,2228703","1,0638975","7,677053",0,"-0,2102307","4,372751","-0,04409666","24,1979"
101,2018,2,15,0,"39,911077","44,451122","49,96","49,96",100,"16,6","64,83","42,81","11,212529","2,29","49,95","76,850759","10,95938","7,85","6705000000000,00%",0,"4,2228703","1,0638975","7,677053",0,"-0,2102307","4,372751","-0,04409666","24,92873"
108,2018,2,16,0,"54,527164","59,675018","63,95","63,95",100,"61,15","85,81","34,96","13,242788","3,88","43,96","67,288202","12,71299","6,16","9733000000000,00%",0,"4,2228703","1,0638975","7,677053",0,"-0,2102307","4,372751","-0,04409666","25,30136"
115,2018,2,17,0,"73,167804","75,866156",,,,,,,"10,375749","4,37","63,95","64,531585","10,12648","7,21","1098000000000,00%",0,"4,2228703","1,0638975","7,677053",0,"-0,2102307","4,372751","-0,04409666","23,11909"
122,2018,2,18,0,"39,60651","47,478442",,,,,,,"16,146295","2,21","39,19","72,131579","6,855621","3,63","758700000000,00%",0,"4,2228703","1,0638975","7,677053",0,"-0,2102307","4,372751","-0,04409666","22,74964"
129,2018,2,19,0,"19,63886","23,488895",,,,,,,"13,822067","4,1","51,09","63,608408","15,16021","18,63","945000000000,00%",0,"4,2228703","1,0638975","7,677053",0,"-0,2102307","4,372751","-0,04409666","22,96924"
136,2018,2,20,0,"37,803847","43,079085","70,09","70,09",100,"52,72","77,89","66,3","12,503595","2,62","43,43","65,273926","16,1142","-4,28","933300000000,00%",0,"4,2228703","1,0638975","7,677053",0,"-0,2102307","4,372751","-0,04409666","22,95681"
143,2018,2,21,0,"56,798034","62,531251","45,99","45,99",100,"31,85","65,57","24,67","11,077443","3,16","36,17","80,052102","11,78778","6,62","2751000000000,00%",0,"4,2228703","1,0638975","7,677053",0,"-0,2102307","4,372751","-0,04409666","24,03773"
150,2018,3,22,0,"50,569058","56,192354","28,11","28,11",100,"8,21","7,22","64,86","18,649185","3,3","29,78","75,29317","9,99202","-4,55","4658000000000,00%",0,"2,7622437","2,4581416","24,46172",0,"-0,00616664","5,004004","-0,09088226","24,56445"
157,2018,3,23,1,"45,321556","52,405881","32,29","32,29",100,"1,06","28,3","50,29","13,269729","0,96","32,58","82,739895","10,27535","0,21","9707000000000,00%",1,"2,7622437","2,4581416","24,46172",0,"-0,00616664","5,004004","-0,09088226","25,29875"
164,2018,3,24,0,"38,790692","45,954573","22,83","22,83",100,0,"22,19","32,86","15,995765","1,98","37,22","77,302614","9,090126","8,84","6131000000000,00%",0,"2,7622437","2,4581416","24,46172",0,"-0,00616664","5,004004","-0,09088226","24,83915"
171,2018,3,25,0,"25,608353","31,862849","41,64","41,64",100,0,"23,6","83,14","12,974726","1,93","34,06","75,553699","9,381538","6,43","12060000000000,00%",0,"2,7622437","2,4581416","24,46172",0,"-0,00616664","5,004004","-0,09088226","25,51558"
178,2018,3,26,0,"64,909394","70,810409","28,9","28,9",100,0,"19,72","53,11","14,889815","1,29","34,4","80,509299","8,288345","5,92","4756000000000,00%",0,"2,7622437","2,4581416","24,46172",0,"-0,00616664","5,004004","-0,09088226","24,58529"
185,2018,3,27,1,"34,021403","39,966865","19,7","19,7",100,"1,06","14,88","33,81","15,402749","2,86","58,62","79,362412","8,368881","3,3","1947000000000,00%",1,"2,7622437","2,4581416","24,46172",0,"-0,00616664","5,004004","-0,09088226","23,69201"
192,2018,3,28,0,"21,048537","27,921561","56,94","56,94",100,"25,06","49,85","79,46","12,096505","4,4","40,14","71,463278","6,629875","0,9","2562000000000,00%",0,"2,7622437","2,4581416","24,46172",0,"-0,00616664","5,004004","-0,09088226","23,96659"
199,2018,3,29,1,"50,913267","54,713057","28,89","28,89",100,0,"26,51","43,71","17,523491","1,48","39,87","79,354934","9,108704","6,98","3241000000000,00%",1,"2,7622437","2,4581416","24,46172",0,"-0,00616664","5,004004","-0,09088226","24,20174"
206,2018,3,30,0,"60,48295","66,158685","32,58","32,58","79,21","1,06","31,68","46,44","16,221788","2,91","34,52","79,11341","8,087715","-0,54","5073000000000,00%",0,"2,7622437","2,4581416","24,46172",0,"-0,00616664","5,004004","-0,09088226","24,64985"
213,2018,3,31,1,"47,665038","51,796626","43,93","43,93",100,"1,75","43,82","60,95","10,63731","1,51","53,67","81,857133","10,06017","17,02","1964000000000,00%",1,"2,7622437","2,4581416","24,46172",0,"-0,00616664","5,004004","-0,09088226","23,70065"
220,2018,4,32,0,"41,34943","47,871549","35,48","35,48",100,0,"29,71","57,63","11,751849","5,53","29,3","58,975733","7,553741","-5,25","3707000000000,00%",0,"1,2348722","0,25581538","26,52918",0,"0,65292065","0,6959076","0,58752936","24,33602"
227,2018,4,33,0,"7,7493428","11,384632",71,71,100,"56,08","67,35","81,98","7,9186836","1,92","26,58","78,09378","6,471741","6,25","23690000000000,00%",0,"1,2348722","0,25581538","26,52918",0,"0,65292065","0,6959076","0,58752936","26,19077"
234,2018,4,34,1,"2,5420792","3,7125229","48,89","48,89",100,"0,69","45,67","72,61","10,924191","1,21","25,18","76,439252","7,115273","0,51","4210000000000,00%",1,"1,2348722","0,25581538","26,52918",0,"0,65292065","0,6959076","0,58752936","24,46324"
241,2018,4,35,0,,,"51,91","51,91",100,"25,7","53,91","59,65","9,0845542","5,84","31,97","60,018891","6,462654","3,92","2641000000000,00%",0,"1,2348722","0,25581538","26,52918",0,"0,65292065","0,6959076","0,58752936","23,99701"
248,2018,4,36,1,"14,624063","19,623394","10,42","10,42",100,0,"8,77","8,82","11,599881","2,1","26,55","84,97314","5,950485","-12,89","1381000000000,00%",1,"1,2348722","0,25581538","26,52918",0,"0,65292065","0,6959076","0,58752936","23,34849"
255,2018,4,37,1,"24,684987","30,275331","32,99","32,99",100,0,"8,31","80,2","13,848513","0,83","23,97","79,235453","6,606445","1,13","2673000000000,00%",1,"1,2348722","0,25581538","26,52918",0,"0,65292065","0,6959076","0,58752936","24,00902"
262,2018,5,38,0,"11,188969","14,06428","38,3","38,3",100,"7,39","54,06","28,95","14,263602","0,67","53,86","63,752101","7,807381","12,71","1454000000000,00%",0,"6,3414856","5,3093466","10,03714",0,"-0,42923979","10,89802","0,02876641","23,4005"
269,2018,5,39,0,"15,758993","20,226871","69,85","69,85",100,"51,13","72,72","73,38","12,062854","1,63","56,42","76,237898","8,841949","12,66","3955000000000,00%",0,"6,3414856","5,3093466","10,03714",0,"-0,42923979","10,89802","0,02876641","24,40083"
276,2018,5,40,0,"6,3545624","8,6622523","58,54","58,54",100,"45,23","57,37","65,49","10,687379","1,01","60,58","80,071715","9,452873","15,11","5732000000000,00%",0,"6,3414856","5,3093466","10,03714",0,"-0,42923979","10,89802","0,02876641","24,77195"
283,2018,5,41,0,"9,6099847","13,370108","43,32","43,32",100,"11,77","42,51","57,05","12,956496","1,42","58,84","69,383512","9,028976","10,36","4256000000000,00%",0,"6,3414856","5,3093466","10,03714",0,"-0,42923979","10,89802","0,02876641","24,47407"
290,2018,6,42,0,"24,761224","29,573778","35,69","35,69",100,"3,68","42,34","39,33","6,5849923","6,94","74,04","70,634395","7,280685","25,13","2179000000000,00%",0,"6,1517026","5,0780573","12,45031",0,"-1,0147359","13,6816","-0,66799825","23,80468"
297,2018,6,43,0,"35,5518","40,915556","44,6","44,6",100,"1,91","42,11","65,11","9,5459214","8,02","54,21","70,798607","9,251564","11,59","1142000000000,00%",0,"6,1517026","5,0780573","12,45031",0,"-1,0147359","13,6816","-0,66799825","23,1582"
304,2018,6,44,0,"21,658766","25,918814","35,43","35,43",100,0,"20,63",70,"8,420699","8,51","47,39","72,326049","9,56472","14,91","1442000000000,00%",0,"6,1517026","5,0780573","12,45031",0,"-1,0147359","13,6816","-0,66799825","23,39187"
311,2018,6,45,1,"8,9667667","10,630606",,,,,,,"4,7409731","1,33","55,34","87,268508","8,19355","21,82","678200000000,00%",1,"6,1517026","5,0780573","12,45031",0,"-1,0147359","13,6816","-0,66799825","22,63747"
318,2018,7,46,0,"50,002294","56,307693","30,39","30,39",100,0,"14,58","64,33","12,880028","3,68","50,19","78,165421","7,518585","-2,75","1096000000000,00%",0,"1,2871039","0,8813021","16,50615",0,"0,3162097","7,931633","0,16065367","23,11737"
325,2018,7,47,0,"7,5869042","10,690991","20,31","20,31",100,0,"26,66","19,67","9,3684349","3,29","41,08","59,857537","7,771713","8,96","792300000000,00%",0,"1,2871039","0,8813021","16,50615",0,"0,3162097","7,931633","0,16065367","22,79304"
332,2018,7,48,0,"45,262281","51,268657","18,02","18,02",100,0,"24,96","15,67","11,133426","1,72","37,62","76,091512","6,429146","14,86","595700000000,00%",0,"1,2871039","0,8813021","16,50615",0,"0,3162097","7,931633","0,16065367","22,5078"
339,2018,7,49,0,"45,786252","52,684071","61,43","61,43",100,"27,69","53,87","85,33","14,62972","3,09","42,59","76,616211","8,651031","7,06","3196000000000,00%",0,"1,2871039","0,8813021","16,50615",0,"0,3162097","7,931633","0,16065367","24,1877"
353,2018,7,51,0,"67,856633","73,519546","25,23","25,23",100,0,"29,83",29,"11,783145","4,78","47,83","73,002323","8,981163","6,13","929200000000,00%",0,"1,2871039","0,8813021","16,50615",0,"0,3162097","7,931633","0,16065367","22,95246"
360,2018,8,52,0,"34,782418","43,687614","73,39","73,39",100,"59,91","87,72","59,04","9,0495333","2,18","49,44","75,30327","6,270065","8,84","10870000000000,00%",0,"4,843087","0,88470916","6,439099",0,"0,54143967","7,395522","0,57590741","25,41225"
367,2018,8,53,0,"42,585243","45,2","45,88","45,88",100,"5,03","51,3","54,75","10,121936","1,43","50,73","80,859797","6,716583","2,52","1397000000000,00%",0,"4,843087","0,88470916","6,439099",0,"0,54143967","7,395522","0,57590741","23,35992"
374,2018,8,54,0,"4,0509182","9,6053502","62,74","62,74",100,"70,72","67,79","52,6","10,030301","0,51","32,94","83,070923","5,787392","4,22","10100000000000,00%",0,"4,843087","0,88470916","6,439099",0,"0,54143967","7,395522","0,57590741","25,33824"
381,2018,8,55,0,"9,4142618","15,245288","84,07","84,07",100,"56,05","86,42","92,03","9,6329739","2,42","47,38","74,368584","7,111794","4,87","19420000000000,00%",0,"4,843087","0,88470916","6,439099",0,"0,54143967","7,395522","0,57590741","25,99203"
388,2018,8,56,0,"50,228384","61,013249","58,81","58,81",100,"31,25","58,04","70,9","9,365671","1,55","62,57","76,392568","5,912445","7,64","2463000000000,00%",0,"4,843087","0,88470916","6,439099",0,"0,54143967","7,395522","0,57590741","23,92736"
395,2018,8,57,0,"2,5420792","4,8694605","61,65","61,65",100,"52,15","54,49","75,31","11,775941","0,87","38,26","81,152768","5,437767","3,13","5024000000000,00%",0,"4,843087","0,88470916","6,439099",0,"0,54143967","7,395522","0,57590741","24,64006"
402,2018,8,58,0,"28,57986","32,313486","64,33","64,33",100,"32,6","72,38","65,93","9,6213816","2,06","49,31","81,07525","6,377411","5,47","5851000000000,00%",0,"4,843087","0,88470916","6,439099",0,"0,54143967","7,395522","0,57590741","24,79246"
409,2018,9,59,0,"59,674028","65,871889",,,,,,,"10,449944","1,06","43,19","85,687216","7,007065","4,55","1982000000000,00%",0,"2,4339813","0,54313315","14,37603",0,"-0,03006073","4,253343","0,01141818","23,70995"
416,2018,9,60,1,"25,522955","30,442677",,,,,,,"9,4503775","0,85","40,76","87,877463","6,742279","13,48","1431000000000,00%",1,"2,4339813","0,54313315","14,37603",0,"-0,03006073","4,253343","0,01141818","23,38445"
