No,Year,Country_ID,Bank_ID,IB,DTD_PB,DTC_PB,ESGS,ESGcom,ESGC,E,S,G,ETA,NPL,CTI,TDTA,REVDIV,LOANGR,TA,IB,EG,INF,HHII,COVID,GOV,MIP,REG,LNTA
190,2016,3,28,0,"27,418243","34,815382","63,94","63,94",100,"59,72","55,98","90,05","13,792433","1,75","41,09","75,752251","5,973122","0,22","2481000000000,00%",0,"2,3630746","2,0688404","27,27639",0,"0,06394656","4,667456","0,06456876","23,93462"
197,2016,3,29,1,"64,447935","67,668278",,,,,,,"18,312344","0,77","45,24","79,293497","7,409065","23,38","2793000000000,00%",1,"2,3630746","2,0688404","27,27639",0,"0,06394656","4,667456","0,06456876","24,05289"
204,2016,3,30,0,"64,081725","69,503131","39,66","39,66",100,"21,15","34,2","63,05","14,599218","1,29","34,03","80,001986","7,182938","5,04","5425000000000,00%",0,"2,3630746","2,0688404","27,27639",0,"0,06394656","4,667456","0,06456876","24,71683"
211,2016,3,31,1,"55,324989","59,021886","16,66","16,66",100,"21,15","8,02","35,24","13,306182","1,36","60,12","76,710879","10,56026","5,88","1433000000000,00%",1,"2,3630746","2,0688404","27,27639",0,"0,06394656","4,667456","0,06456876","23,38583"
218,2016,4,32,0,,,"41,73","41,73",100,"21,15","31,78","72,14","11,735899","5,02","47,73","61,425384","7,390213","2,59","3582000000000,00%",0,"3,0641919","2,6765917","24,463",0,"0,78417925","1,383514","0,68350405","24,30174"
225,2016,4,33,0,,,"43,08","43,08",100,"24,46","43,39","58,57","8,4554488","1,78","31,17","76,310851","7,446449","34,35","19770000000000,00%",0,"3,0641919","2,6765917","24,463",0,"0,78417925","1,383514","0,68350405","26,01011"
232,2016,4,34,1,,,"39,66","39,66",100,"21,15","33,65","63,81","11,441201","1,01","29,82","77,952159","6,113792","12,34","3842000000000,00%",1,"3,0641919","2,6765917","24,463",0,"0,78417925","1,383514","0,68350405","24,37174"
239,2016,4,35,0,,,"32,25","32,25",100,"59,88","42,75","23,33","10,38069","3,27","39,43","72,638049","6,897507","6,82","2483000000000,00%",0,"3,0641919","2,6765917","24,463",0,"0,78417925","1,383514","0,68350405","23,93514"
246,2016,4,36,1,,,,,,,,,"13,341637","1,85","25,28","76,80031","6,932945","9,4","1169000000000,00%",1,"3,0641919","2,6765917","24,463",0,"0,78417925","1,383514","0,68350405","23,18199"
253,2016,4,37,1,,,"25,18","25,18",100,"21,15","4,11","64,29","14,06468","0,25","18,93","82,824123","5,838974","8,09","2515000000000,00%",1,"3,0641919","2,6765917","24,463",0,"0,78417925","1,383514","0,68350405","23,94796"
260,2016,5,38,0,"2,9704091","3,9599914","44,9","44,9",100,"26,18","59,01","41,41","13,961081","4,58","50,56","49,871507","6,892021","21,73","1395000000000,00%",0,"7,1494568","1,2536988","10,55294",0,"-0,43933415","9,856393","0,11292445","23,35888"
267,2016,5,39,0,"16,327428","20,878065","54,13","54,13",100,"30,7","70,35","49,62","9,716891","1,7","52,5","82,979273","8,306618","19,14","3464000000000,00%",0,"7,1494568","1,2536988","10,55294",0,"-0,43933415","9,856393","0,11292445","24,26838"
274,2016,5,40,0,"4,8396754","6,7482225","48,68","48,68",100,"53,6","47,04","62,44","9,1358749","2,72","60,73","81,944293","8,784935","15,84","4667000000000,00%",0,"7,1494568","1,2536988","10,55294",0,"-0,43933415","9,856393","0,11292445","24,56647"
